influencee,influencer,keyword
5 of wands,4 of wands,opposing
5 of wands,4 of swords,opposing
5 of wands,7 of swords,opposing
5 of wands,justice,reinforcing
5 of wands,5 of wands,reinforcing
5 of wands,6 of swords,reinforcing
5 of wands,9 of swords,reinforcing
5 of wands,5 of coins,reinforcing
2 of swords,fool,opposing
2 of swords,wheel of fortune,opposing
2 of swords,justice,opposing
2 of swords,star,opposing
2 of swords,3 of wands,opposing
2 of swords,moon,reinforcing
2 of swords,9 of wands,reinforcing
2 of swords,7 of swords,reinforcing
2 of swords,4 of coins,reinforcing
3 of swords,lovers,opposing
3 of swords,3 of cups,opposing
3 of swords,10 of cups,opposing
3 of swords,5 of cups,reinforcing
3 of swords,9 of swords,reinforcing
3 of swords,5 of coins,reinforcing
4 of swords,magician,opposing
4 of swords,wheel of fortune,opposing
4 of swords,8 of wands,opposing
4 of swords,10 of wands,opposing
4 of swords,2 of coins,opposing
4 of swords,high priestess,reinforcing
4 of swords,hermit,reinforcing
4 of swords,hanged man,reinforcing
4 of swords,4 of cups,reinforcing
4 of swords,6 of swords,reinforcing
4 of swords,7 of coins,reinforcing
5 of swords,emperor,opposing
5 of swords,justice,opposing
5 of swords,temperance,opposing
5 of swords,6 of cups,opposing
5 of swords,5 of wands,reinforcing
5 of swords,7 of wands,reinforcing
5 of swords,7 of swords,reinforcing
6 of swords,strength,opposing
6 of swords,sun,opposing
6 of swords,4 of wands,opposing
6 of swords,3 of cups,opposing
6 of swords,2 of coins,opposing
6 of swords,10 of wands,reinforcing
6 of swords,4 of cups,reinforcing
6 of swords,5 of cups,reinforcing
6 of swords,8 of cups,reinforcing
6 of swords,4 of swords,reinforcing
6 of swords,9 of swords,reinforcing
7 of swords,hierophant,opposing
7 of swords,justice,opposing
7 of swords,10 of wands,opposing
7 of swords,6 of cups,opposing
7 of swords,hermit,reinforcing
7 of swords,2 of swords,reinforcing
7 of swords,5 of swords,reinforcing
7 of swords,9 of coins,reinforcing
8 of swords,magician,opposing
8 of swords,chariot,opposing
8 of swords,2 of wands,opposing
8 of swords,3 of coins,opposing
8 of swords,4 of wands,opposing
8 of swords,moon,reinforcing
8 of swords,10 of swords,reinforcing
8 of swords,devil,reinforcing
9 of swords,star,opposing
9 of swords,judgment,opposing
9 of swords,3 of cups,opposing
9 of swords,6 of cups,opposing
9 of swords,10 of cups,opposing
9 of swords,devil,reinforcing
9 of swords,10 of wands,reinforcing
9 of swords,3 of swords,reinforcing
9 of swords,6 of swords,reinforcing
10 of swords,chariot,opposing
10 of swords,2 of wands,opposing
10 of swords,6 of wands,opposing
10 of swords,9 of cups,opposing
10 of swords,hanged man,reinforcing
10 of swords,8 of swords,reinforcing
fool,hierophant,opposing
